Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
KGF.L,B+,B+,71.7565947947089,71.7565947947089,100.0,B+,B+,B+,74.0707797231962,67.6240957844849,74.8789596407408,A,A-,C+,A,A,A+,D+,B+,B-,A+,91.0041841004184,82.3651452282158,43.4931506849315,90.0749063670412,90.8296943231441,97.1910112359551,24.8076923076923,66.9504643962848,52.7089783281734,93.3649289099526
LLOY.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWG.L,A-,B-,81.9327942541015,52.4247304603841,22.9166666666667,A-,A-,A,81.4435282938281,79.3005066942349,90.1987625724878,A-,A,A+,A+,A+,B,B+,A+,D+,A-,77.7848911651729,87.183908045977,94.0559440559441,93.0555555555556,92.8929765886288,61.2654320987654,71.1334745762712,97.0957613814757,20.3296703296703,78.780487804878
SDR.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXT.L,B+,B+,70.6348719145093,70.6348719145093,100.0,B+,B+,A-,69.4169520631961,68.9169548254988,76.7771946510043,A,B+,B+,A-,A+,D+,A+,B+,B,B,85.9832635983264,70.746887966805,74.3150684931507,79.5880149812734,99.1266375545852,21.9101123595506,92.5,71.9040247678019,62.4613003095975,63.6650868878357
ITRK.L,B+,B+,73.883378722966,73.883378722966,100.0,B+,B+,A-,71.2086033317334,72.9425789077357,80.1099049668152,B+,A,A,A-,A+,B+,C-,A,C-,A-,70.5980066445183,84.0557275541796,88.1889763779528,79.6875,91.8965517241379,72.5852272727273,25.0724637681159,85.7927786499215,26.2166405023548,78.780487804878
BTRW.L,B,C+,61.0820342290599,41.9046534781663,22.7272727272727,B,B-,B,63.3310818711096,52.8110426159207,64.7339447218251,B,A-,B-,A+,C+,A,C,B,D-,A-,66.1392405063291,77.8787878787879,55.3191489361702,93.7869822485207,44.0140845070423,84.9112426035503,39.1566265060241,60.6750392464678,6.35792778649922,83.1707317073171
SHEL.L,A,C+,88.8783055025709,46.0016527512855,3.125,A,A,A,89.3381704424681,87.0247391013941,89.5829468150896,A+,A+,B+,A,A,A,A+,A,B,A+,94.0816326530612,97.9166666666667,74.7252747252747,83.8289962825279,90.625,87.546468401487,99.034749034749,91.287284144427,64.5996860282575,99.349593495935
GLEN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOD.L,A-,A-,82.4694488487463,80.6578013474501,78.8461538461538,A-,A+,A-,79.7413245297411,92.7014951652899,76.2599165457248,A,A-,B-,B+,A,C+,A+,A+,A,A+,88.4020618556701,80.1507537688442,57.9365079365079,72.4537037037037,85.0,48.3796296296296,98.0861244019139,95.2786377708978,83.6687306501548,93.3649289099526
BARC.L,A,C+,83.9102660405467,45.3777520678924,6.8452380952381,A-,A,A+,80.4080842476314,84.8586914440573,93.6022731518119,A+,A,A+,A-,A+,A-,B+,A+,C+,A+,97.6312419974392,87.7586206896552,94.0559440559441,79.5781893004115,92.8929765886288,78.5493827160494,71.1334745762712,92.8571428571429,50.0,97.1544715447155
FCIT.L,C-,C-,29.5650755778791,29.5650755778791,100.0,C+,D,C,47.3289198617765,15.6713166817696,33.4063342318059,D-,B+,C-,C-,D,B,C+,D,D+,D-,0.0,70.7547169811321,29.4642857142857,26.6666666666667,9.57446808510638,65.2380952380952,49.4845360824742,15.7770800627944,24.4113029827316,2.03252032520325
UTG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPLM.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
